problem,instance,number of objectives,chromosome size,solver,seed,metric name,metric value
MOTSP,kroAB200,2,200,NSGA-II,755772793,Hypervolume Ratio,0.95637
MOTSP,kroAB200,2,200,NSPSO,305089489,Hypervolume Ratio,0.886982
MOTSP,kroAB200,2,200,NSPSO,511812191,Hypervolume Ratio,0.904821
MOTSP,kroAB200,2,200,NSPSO,608055156,Hypervolume Ratio,0.843184
MOTSP,kroAB200,2,200,NSPSO,467424509,Hypervolume Ratio,0.856748
MOTSP,kroAB200,2,200,NSPSO,944441939,Hypervolume Ratio,0.888938
MOTSP,kroAB200,2,200,NSPSO,414977408,Hypervolume Ratio,0.90247
MOTSP,kroAB200,2,200,NSPSO,819312498,Hypervolume Ratio,0.872723
MOTSP,kroAB200,2,200,NSPSO,562386085,Hypervolume Ratio,0.888724
MOTSP,kroAB200,2,200,NSPSO,287613914,Hypervolume Ratio,0.917105
MOTSP,kroAB200,2,200,NSPSO,755772793,Hypervolume Ratio,0.844635
MOTSP,kroAB200,2,200,MOEA/D-DE,305089489,Hypervolume Ratio,0.946134
MOTSP,kroAB200,2,200,MOEA/D-DE,511812191,Hypervolume Ratio,0.943352
MOTSP,kroAB200,2,200,MOEA/D-DE,608055156,Hypervolume Ratio,0.969069
MOTSP,kroAB200,2,200,MOEA/D-DE,467424509,Hypervolume Ratio,0.934879
MOTSP,kroAB200,2,200,MOEA/D-DE,944441939,Hypervolume Ratio,0.949916
MOTSP,kroAB200,2,200,MOEA/D-DE,414977408,Hypervolume Ratio,0.966112
MOTSP,kroAB200,2,200,MOEA/D-DE,819312498,Hypervolume Ratio,0.946364
MOTSP,kroAB200,2,200,MOEA/D-DE,562386085,Hypervolume Ratio,0.954609
MOTSP,kroAB200,2,200,MOEA/D-DE,287613914,Hypervolume Ratio,0.93338
MOTSP,kroAB200,2,200,MOEA/D-DE,755772793,Hypervolume Ratio,0.940238
MOTSP,kroAB200,2,200,MHACO,305089489,Hypervolume Ratio,0.588241
MOTSP,kroAB200,2,200,MHACO,511812191,Hypervolume Ratio,0.579046
MOTSP,kroAB200,2,200,MHACO,608055156,Hypervolume Ratio,0.580473
MOTSP,kroAB200,2,200,MHACO,467424509,Hypervolume Ratio,0.588542
MOTSP,kroAB200,2,200,MHACO,944441939,Hypervolume Ratio,0.583536
MOTSP,kroAB200,2,200,MHACO,414977408,Hypervolume Ratio,0.585165
MOTSP,kroAB200,2,200,MHACO,819312498,Hypervolume Ratio,0.583737
MOTSP,kroAB200,2,200,MHACO,562386085,Hypervolume Ratio,0.57935
MOTSP,kroAB200,2,200,MHACO,287613914,Hypervolume Ratio,0.583871
MOTSP,kroAB200,2,200,MHACO,755772793,Hypervolume Ratio,0.580718
MOTSP,kroAB200,2,200,IHS,305089489,Hypervolume Ratio,0.661965
MOTSP,kroAB200,2,200,IHS,511812191,Hypervolume Ratio,0.639142
MOTSP,kroAB200,2,200,IHS,608055156,Hypervolume Ratio,0.645588
MOTSP,kroAB200,2,200,IHS,467424509,Hypervolume Ratio,0.663674
MOTSP,kroAB200,2,200,IHS,944441939,Hypervolume Ratio,0.660382
MOTSP,kroAB200,2,200,IHS,414977408,Hypervolume Ratio,0.667119
MOTSP,kroAB200,2,200,IHS,819312498,Hypervolume Ratio,0.655958
MOTSP,kroAB200,2,200,IHS,562386085,Hypervolume Ratio,0.663985
MOTSP,kroAB200,2,200,IHS,287613914,Hypervolume Ratio,0.646827
MOTSP,kroAB200,2,200,IHS,755772793,Hypervolume Ratio,0.640331
MOTSP,kroAB200,2,200,NS-BRKGA,305089489,Hypervolume Ratio,0.903433
MOTSP,kroAB200,2,200,NS-BRKGA,511812191,Hypervolume Ratio,0.897718
MOTSP,kroAB200,2,200,NS-BRKGA,608055156,Hypervolume Ratio,0.898533
MOTSP,kroAB200,2,200,NS-BRKGA,467424509,Hypervolume Ratio,0.889469
MOTSP,kroAB200,2,200,NS-BRKGA,944441939,Hypervolume Ratio,0.890082
MOTSP,kroAB200,2,200,NS-BRKGA,414977408,Hypervolume Ratio,0.898443
MOTSP,kroAB200,2,200,NS-BRKGA,819312498,Hypervolume Ratio,0.892659
