Solver,Time,epsilon,Standard Deviation
nsga2,0.0818351702,0.5123225733333333,0.17576606520559365
nsga2,0.20025549933333334,0.5151736266666667,0.17518273290200165
nsga2,0.29433636533333335,0.5175993266666666,0.17435436773193064
nsga2,0.43974215466666666,0.52068028,0.17326242660704022
nsga2,0.6329634493333334,0.52266934,0.1727747215209117
nsga2,0.8777303273333333,0.52553124,0.17080992616059815
nsga2,1.2046622066666666,0.5281293266666667,0.1692152940030249
nsga2,1.6265841533333334,0.5319336266666667,0.16705737224238512
nsga2,2.1777365933333335,0.53728022,0.16325359846849014
nsga2,2.90058148,0.5454395266666666,0.15755000899783345
nsga2,3.847095,0.55588488,0.15025876694256346
nsga2,5.084405933333334,0.5694500666666666,0.14194801283907418
nsga2,6.713556333333333,0.5849230733333334,0.13314019800407786
nsga2,8.8613286,0.60030012,0.12459835908088811
nsga2,11.704095,0.6146962866666666,0.11773921726325051
nsga2,15.451158733333333,0.6282540866666667,0.11281909424817688
nsga2,20.42594933333333,0.6414034333333334,0.10773829303464491
nsga2,27.039093333333334,0.6544637333333333,0.10303429364251318
nsga2,35.82725933333333,0.6680321,0.09895987338742762
nsga2,47.54012866666667,0.6817137,0.09403186262975335
nsga2,63.19911066666667,0.69328616,0.09019837191748437
nsga2,84.18278266666667,0.7045395666666666,0.0861858665938278
nsga2,112.347292,0.71397238,0.08391200135406075
nsga2,150.23449333333332,0.72299616,0.0813935479063273
nsga2,201.34862666666666,0.73022286,0.07977578323597428
nsga2,270.4606933333333,0.7373710066666667,0.0781992537809619
nsga2,364.09435333333334,0.7445362133333333,0.07773355000338451
nsga2,491.2563133333333,0.74981862,0.07856396874463714
nsga2,664.3130066666666,0.75486252,0.07946558651473272
nsga2,900.0742866666667,0.7622080533333333,0.07813217099298901
nspso,0.08088459326666667,0.5123225733333333,0.17576606520559365
nspso,0.17266771466666667,0.5149228866666666,0.17470668891565938
nspso,0.24880152733333333,0.5165600333333333,0.1748345689124366
nspso,0.38089740866666666,0.51807362,0.17471478867412807
nspso,0.5313713426666666,0.5198016733333334,0.17431070765157614
nspso,0.74186956,0.5213340066666666,0.17348890697827551
nspso,1.0181236733333334,0.5227565,0.17359598486483285
nspso,1.3860962133333334,0.5239231933333334,0.17329875131709127
nspso,1.8685781933333334,0.5252070666666667,0.17278261962267322
nspso,2.5046457933333333,0.5265468933333334,0.17223757665823866
nspso,3.3479351266666666,0.5282498133333333,0.1711754063310375
nspso,4.469041533333333,0.53011508,0.16984930515565652
nspso,5.9577516,0.53286726,0.16748111116352654
nspso,7.938479,0.53539172,0.16542984420695434
nspso,10.579916133333333,0.5394528466666667,0.16205894683633226
nspso,14.1096256,0.5433977266666666,0.15864707644306433
nspso,18.824164333333332,0.5471001066666666,0.15573148713766702
nspso,25.139709333333332,0.5508795333333333,0.15269856323953523
nspso,33.609256,0.5548518,0.1499069405796353
nspso,44.986114666666666,0.56023098,0.14593354430231995
nspso,60.291914,0.5663224133333333,0.14169308800764926
nspso,80.92150533333333,0.5731808466666667,0.13694569694917688
nspso,108.76865333333333,0.5808052733333333,0.13225356093879628
nspso,146.41898666666665,0.5880645266666666,0.12823072582458264
nspso,197.40874666666667,0.5968860866666666,0.12462100271364716
nspso,266.5648933333333,0.6047855733333334,0.12157009302490966
nspso,360.51066,0.6135311866666666,0.11839872926730495
