number of objectives,solver,mean,std,rank
2,IHS,0.49325139999999995,0.10414022886885331,5.0
2,MHACO,0.45988568,0.1267013720690554,6.0
2,MOEA/D-DE,0.7283215,0.06544008922678976,3.0
2,NS-BRKGA,0.74631534,0.12627770916380118,2.0
2,NSGA-II,0.7806768,0.06889108912194786,1.0
2,NSPSO,0.618108,0.06913696265016128,4.0
3,IHS,0.57138002,0.12795128175742104,5.0
3,MHACO,0.5592473600000001,0.1445373932641033,6.0
3,MOEA/D-DE,0.7305465,0.06569511854796078,3.0
3,NS-BRKGA,0.78504452,0.12494865889460693,1.0
3,NSGA-II,0.7516509,0.054955659291591345,2.0
3,NSPSO,0.6338938000000001,0.09822218769084458,4.0
4,IHS,0.61383084,0.1713318352883666,6.0
4,MHACO,0.6162702800000001,0.18024891507160706,5.0
4,MOEA/D-DE,0.6864132,0.11753915185579472,3.0
4,NS-BRKGA,0.7370729,0.14057903531150095,2.0
4,NSGA-II,0.7542964600000001,0.10134750178011195,1.0
4,NSPSO,0.6624793,0.141288707499169,4.0
