number of objectives,solver,mean,std,rank
2,IHS,0.1675882,0.02427717906989684,5.0
2,MHACO,0.2012592,0.03531231056543015,6.0
2,MOEA/D-DE,0.054324468599999995,0.0308230123206918,3.0
2,NS-BRKGA,0.034577696000000005,0.009399297891732907,1.0
2,NSGA-II,0.039761474,0.02032706143261314,2.0
2,NSPSO,0.096320406,0.04510378803129969,4.0
3,IHS,0.146044388,0.03445077455411747,5.0
3,MHACO,0.16068944,0.034536015954457315,6.0
3,MOEA/D-DE,0.070219274,0.041161571715890195,3.0
3,NS-BRKGA,0.029429295999999997,0.007943783059931141,1.0
3,NSGA-II,0.060171034,0.021997248924415482,2.0
3,NSPSO,0.09923986400000001,0.030724464366097194,4.0
4,IHS,0.105245932,0.03508161032082509,5.0
4,MHACO,0.10998298000000001,0.040480415564077506,6.0
4,MOEA/D-DE,0.08303845600000001,0.0228423685890144,4.0
4,NS-BRKGA,0.030650576,0.008774917090382433,1.0
4,NSGA-II,0.053135674,0.012442919337302497,2.0
4,NSPSO,0.07213009399999999,0.016979831274280217,3.0
