number of vertices,solver,mean,std,rank
100,IHS,0.12531514666666668,0.015594824153119285,5.0
100,MHACO,0.1812592,0.03256574781872979,6.0
100,MOEA/D-DE,0.04534992,0.030857294444961218,3.0
100,NS-BRKGA,0.04188978,0.006908018252297034,2.0
100,NSGA-II,0.04185174,0.011843093002473694,1.0
100,NSPSO,0.05188401333333333,0.022993639275898908,4.0
200,IHS,0.1759694,0.01799664123184063,5.0
200,MHACO,0.19693756666666667,0.0372386961906316,6.0
200,MOEA/D-DE,0.050106624333333336,0.043902130370227825,3.0
200,NS-BRKGA,0.029636313333333334,0.00626137890155049,1.0
200,NSGA-II,0.04475872,0.017260912872219272,2.0
200,NSPSO,0.0782089,0.01700811509123077,4.0
500,IHS,0.16744466666666666,0.03561578842585689,5.0
500,MHACO,0.17488163333333334,0.044396416994667114,6.0
500,MOEA/D-DE,0.09429736000000001,0.026705804137233457,3.0
500,NS-BRKGA,0.027812156666666664,0.008098034441580438,1.0
500,NSGA-II,0.051341316666666664,0.026264045312964196,2.0
500,NSPSO,0.11358874999999999,0.025734840681923134,4.0
1000,IHS,0.12792467666666668,0.03593691543964694,5.0
1000,MHACO,0.13104078333333333,0.04104138397161548,6.0
1000,MOEA/D-DE,0.08091918333333334,0.018257605835265468,3.0
1000,NS-BRKGA,0.027617976666666665,0.007728298805562416,1.0
1000,NSGA-II,0.05654618,0.021492154295100662,2.0
1000,NSPSO,0.10955481333333333,0.031399444420164326,4.0
2000,IHS,0.10147697666666668,0.03721185465279138,5.0
2000,MHACO,0.10243351666666665,0.04041875975742371,6.0
2000,MOEA/D-DE,0.07529724333333333,0.018420304119914167,3.0
2000,NS-BRKGA,0.030806386666666668,0.007302014988260545,1.0
2000,NSGA-II,0.06061568,0.017424351450482475,2.0
2000,NSPSO,0.09291413,0.03454355665509202,4.0
