number of vertices,solver,mean,std,rank
100,IHS,0.4223707666666667,0.03378578127237932,5.0
100,MHACO,0.3644444333333333,0.03187928393787969,6.0
100,MOEA/D-DE,0.6774930666666666,0.09803223166789847,2.0
100,NS-BRKGA,0.5686091,0.05613448794503899,4.0
100,NSGA-II,0.7046054666666667,0.04293016898103513,1.0
100,NSPSO,0.5848529333333333,0.09569616715126937,3.0
200,IHS,0.4216232,0.03593329544893828,5.0
200,MHACO,0.40781686666666667,0.05745150702067904,6.0
200,MOEA/D-DE,0.7239643,0.11294817448759101,1.0
200,NS-BRKGA,0.6564434333333333,0.029045678247799907,3.0
200,NSGA-II,0.6815788333333334,0.045143621498565496,2.0
200,NSPSO,0.5406205333333334,0.04648612619409506,4.0
500,IHS,0.5439103333333333,0.0649813005353415,5.0
500,MHACO,0.5414776666666667,0.07708434980717814,6.0
500,MOEA/D-DE,0.6582478333333334,0.03357916508489826,3.0
500,NS-BRKGA,0.7933423666666666,0.05054507225784299,1.0
500,NSGA-II,0.7793273666666667,0.07879212983474558,2.0
500,NSPSO,0.6116618666666667,0.05053488815675848,4.0
1000,IHS,0.6502051000000001,0.08280645470149686,5.0
1000,MHACO,0.6496727666666667,0.09265475081988733,6.0
1000,MOEA/D-DE,0.7187455333333334,0.0448438337772728,3.0
1000,NS-BRKGA,0.8617755,0.028757202183644942,1.0
1000,NSGA-II,0.8010734666666667,0.026502669511258473,2.0
1000,NSPSO,0.6795902666666667,0.07824553635607971,4.0
2000,IHS,0.7593277,0.0760567881797361,6.0
2000,MHACO,0.7622604666666667,0.08187960103238766,5.0
2000,MOEA/D-DE,0.7970179333333333,0.05150976434112432,3.0
2000,NS-BRKGA,0.9005508666666666,0.01896821606090918,1.0
2000,NSGA-II,0.8444551333333333,0.039399427393645325,2.0
2000,NSPSO,0.7740762333333334,0.07391109417479967,4.0
