solver,mean,std,rank
IHS,0.5953488266666667,0.10075125318192399,5.0
MHACO,0.5747013866666667,0.10099124856156586,6.0
MOEA/D-DE,0.7656904733333334,0.11788467347965678,3.0
NS-BRKGA,0.8574421066666668,0.06781432298564942,2.0
NSGA-II,0.8861339066666667,0.04529738678646386,1.0
NSPSO,0.7179694533333334,0.0905878321922046,4.0
